listing_id,market,country,archetype,property_type,bedrooms,capacity,base_price,is_superhost,review_score,num_reviews,instant_book,wifi,air_conditioning,pool,parking,kitchen,lat,lon,host_since
7267954,Ward 54,ZA,entire_home,Entire villa,4,8,1502.0,False,4.8,10,False,True,True,True,True,True,-33.92772,18.38046,2015-02-18
7282456,Ward 23,ZA,entire_home,Entire rental unit,2,4,2133.0,False,5.0,4,False,True,False,True,True,True,-33.80701,18.47008,2015-07-11
7312518,Ward 61,ZA,entire_home,Other,3,6,6615.0,False,4.92,52,False,True,False,False,True,True,-34.19647,18.37376,2014-11-03
7357555,Ward 54,ZA,entire_home,Entire home,4,7,1502.0,False,4.89,0,False,False,False,False,False,False,-33.92779,18.38263,2015-07-15
7394566,Ward 59,ZA,private_room,Private room in home,1,2,317.0,True,4.77,56,False,True,False,False,True,True,-33.98146,18.46043,2015-07-17
7410801,Ward 54,ZA,entire_home,Entire home,3,6,6000.0,False,5.0,14,False,True,False,True,True,True,-33.95256,18.37861,2015-06-21
7446675,Ward 77,ZA,private_room,Private room in rental unit,2,2,540.0,False,4.0,5,False,True,False,False,True,True,-33.93942,18.41845,2015-07-20
7514023,Ward 55,ZA,entire_home,Entire rental unit,1,2,1129.0,False,4.81,124,True,True,False,False,True,True,-33.88694,18.5125,2015-07-23
7520768,Ward 54,ZA,private_room,Private room in bed and breakfast,1,2,1502.0,False,4.89,0,False,True,True,True,True,False,-33.96057,18.37844,2014-12-23
7520920,Ward 54,ZA,private_room,Private room in bed and breakfast,2,2,1502.0,False,4.89,0,False,True,True,True,False,False,-33.9603,18.37892,2014-12-23
7539201,Ward 4,ZA,entire_home,Entire home,4,7,9000.0,False,5.0,1,False,True,True,True,True,True,-33.8505803,18.4912733,2015-07-05
7550881,Ward 115,ZA,entire_home,Entire townhouse,4,8,1502.0,False,4.84,346,True,True,True,False,True,True,-33.91571,18.41717,2017-04-13
7570309,Ward 84,ZA,entire_home,Entire villa,4,8,3154.0,False,4.89,61,False,True,True,False,True,True,-34.09703,18.86851,2016-07-10
7596268,Ward 64,ZA,entire_home,Entire rental unit,1,2,600.0,False,4.94,31,False,False,False,False,False,True,-34.14194,18.42804,2015-07-28
